Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AMZN,"Amazon.com Inc",1844.07,-3.26,-0.18%,1849.95,1840.31,2654800,04/11/19
ANET,"Arista Networks Inc",322.23,-0.02,-0.01%,324,319.2,550800,04/11/19
ANSS,"Ansys Inc",188.59,0.67,+0.36%,188.76,187.46,217700,04/11/19
ANTM,"Anthem Inc",276.29,-11.75,-4.08%,290.94,275.35,2381000,04/11/19
AON,"AON Plc",173.89,1.05,+0.61%,174.21,171.89,939200,04/11/19
AOS,"Smith [A.O.] Corp",54.89,0.7,+1.29%,54.94,54.16,725700,04/11/19
APA,"Apache Corp",35.64,-0.08,-0.22%,35.97,34.99,3060500,04/11/19
APC,"Anadarko Petroleum Corp",46.8,0,0.00%,47.19,46.15,3136300,04/11/19
APD,"Air Products and Chemicals",193.55,0.51,+0.26%,193.95,191.48,765700,04/11/19
APH,"Amphenol Corp",102.92,1.05,+1.03%,102.97,101.33,686800,04/11/19
APTV,"Aptiv Plc",89.08,0.52,+0.59%,89.14,87.94,861800,04/11/19
ARE,"Alexandria Real Estate Equities",143.5,-0.34,-0.24%,144.31,143,507900,04/11/19
ARNC,"Arconic Inc",20.37,0.29,+1.44%,20.47,20.08,4173700,04/11/19
ATO,"Atmos Energy Corp",100.69,0.26,+0.26%,100.79,100.03,429200,04/11/19
ATVI,"Activision Blizzard",47.17,-0.69,-1.44%,48.24,46.85,5198500,04/11/19
AVB,"Avalonbay Communities",203.15,0.95,+0.47%,203.57,201.55,358600,04/11/19
AVGO,"Broadcom Ltd",309.41,1.9,+0.62%,310.19,306.23,1667000,04/11/19
AVY,"Avery Dennison Corp",114.35,0.59,+0.52%,114.51,113.66,272400,04/11/19
AWK,"American Water Works",104.32,0.29,+0.28%,104.38,103.71,863100,04/11/19
AXP,"American Express Company",109.85,-0.31,-0.28%,110.83,109.42,2320600,04/11/19
AZO,Autozone,1068.57,8.4,+0.79%,1070.92,1058.73,261400,04/11/19
BA,"Boeing Company",370.16,5.22,+1.43%,371.08,364.21,6598300,04/11/19
BAC,"Bank of America Corp",29.07,0,0.00%,29.49,28.99,50439996,04/11/19
BAX,"Baxter International Inc",79.83,-0.33,-0.41%,80.45,79.32,1909600,04/11/19
BBT,"BB&T Corp",48.44,0.33,+0.69%,48.78,48.2,5130700,04/11/19
BBY,"Best Buy CO",73.98,-0.51,-0.68%,74.54,73.6,1771000,04/11/19
BDX,"Becton Dickinson and Company",251.73,-0.5,-0.20%,253.34,251.24,959400,04/11/19
BEN,"Franklin Resources",35.03,0.05,+0.14%,35.41,34.8,3348900,04/11/19
BF.B,"Brown Forman Inc Cl B",53.09,0.08,+0.15%,53.36,52.8,454600,04/11/19
BHF,"Brighthouse Financial Inc",39.53,0.8,+2.07%,40.01,38.91,1119100,04/11/19
BHGE,"Baker Hughes A Ge Co. Cl A",26.66,-0.21,-0.78%,26.99,26.39,2695400,04/11/19
BIIB,"Biogen Inc",233.83,-6.45,-2.68%,240.74,231.05,2875600,04/11/19
BK,"Bank of New York Mellon Corp",51.69,0.4,+0.78%,52,51.32,3857500,04/11/19
BKNG,"Booking Holdings Inc",1818.59,12.59,+0.70%,1823.4,1806.15,421100,04/11/19
BLK,Blackrock,446.11,3.35,+0.76%,448.75,442.87,412700,04/11/19
BLL,"Ball Corp",58.62,0.37,+0.64%,58.7,58.03,1541700,04/11/19
BMY,"Bristol-Myers Squibb Company",46.09,0.2,+0.44%,46.33,45.43,19846000,04/11/19
BR,"Broadridge Financial Solutions Llc",110.3,0.8,+0.73%,110.34,109.18,957600,04/11/19
BRK.B,"Berkshire Hath Hld Cl B",206.67,2.15,+1.05%,207.09,204.27,2988200,04/11/19
BSX,"Boston Scientific Corp",37.92,-0.44,-1.15%,38.51,37.87,4887600,04/11/19
BWA,"Borgwarner Inc",42.77,-0.01,-0.02%,43.03,42.37,1327400,04/11/19
BXP,"Boston Properties",138.45,0.06,+0.04%,139.41,137.9,525800,04/11/19
C,"Citigroup Inc",65.91,0.39,+0.60%,66.44,65.31,11358600,04/11/19
CAG,"Conagra Brands Inc",29.78,0.39,+1.33%,30.3,29.5,6692700,04/11/19
CAH,"Cardinal Health",46.38,-0.56,-1.19%,47.21,46.2,2208800,04/11/19
CAT,"Caterpillar Inc",138.87,1.34,+0.97%,139.59,136.98,2762900,04/11/19
CB,"Chubb Ltd",137.99,0.58,+0.42%,138.38,137.4,1110900,04/11/19
CBOE,"CBOE Global Markets Inc",95.91,-0.23,-0.24%,96.64,95.35,572400,04/11/19
CBRE,"CBRE Group Inc",51.26,0.39,+0.77%,51.6,50.81,1204100,04/11/19
CBS,"CBS Corp",51.56,-0.07,-0.14%,52.13,51.46,2633300,04/11/19
CCI,"Crown Castle International Corp",128.73,-1.52,-1.17%,130.6,128.35,1873500,04/11/19
CCL,"Carnival Corp",52.47,0.2,+0.38%,52.78,52.18,4584200,04/11/19
